분류기호,분류 항목 (주제명),상세 분류 내용 및 범위
000,총류 일반,"지식, 학문일반, 신비현상, 불가사의, UFO, 컴퓨터과학, 시스템 분석, 설계, 구조 및 성능평가, 통신 및 네트워크, 보안 및 컴퓨터 프로그래밍, 데이터 및 데이터베이스"
010,"도서학, 서지학","저작권법, 도서형태, 출판, 일반서지 및 목록, 장서목록"
020,문헌정보학,"도서관의 행정, 재정, 건축, 설비, 경영, 관리, 수서, 정리, 참고봉사, 각종 도서관, 정보학, 독서 및 정보매체의 이용, 기록학, 독서지도"
030,백과사전,"일반상식, 퀴즈, 각종 백과사전(어학사전, 전문사전은 해당 주제에 분류함)"
040,"강연집, 수필집, 연설문집","일반적인 수필집, 강연집, 연설집 등을 포함(문학 작품은 해당 문학에 분류함)"
050,일반 연속간행물,"계속적으로 발간하는 연속간행물, 연감, 일반 논문집 포함(특정 주제의 논문은 해당 주제에 분류함)"
060,"일반 학회, 단체, 협회, 기관, 연구기관","특정 주제의 학회·단체는 해당 주제에 분류함. 박물관학, 박물관사"
070,"신문, 저널리즘","신문 및 잡지 기사작성, 뉴스매체, 저널리즘, 언론, 언론정책"
080,"일반 전집, 총서","개인 및 2인 이상의 일반 전집, 총서"
090,향토자료,"각 지역의 역사, 문화, 풍습 등 고유 향토 유산 관련 자료"
100,철학 일반,"철학 일반, 철학사. 특수 주제의 철학은 해당 주제에 분류한다. (예 : 법철학 - 360, 교육철학 - 370)"
110,형이상학,"방법론, 존재론, 우주론, 자연철학"
120,"인식론, 인과론, 인간학","철학적 인간학, 인식론, 자유 및 필연, 목적론, 가치론, 인과론"
130,철학체계,"관념론 및 연관 철학, 비판철학, 합리론, 인문주의, 경험론, 자연주의, 유물론, 과학주의"
140,경학,"역류(易類), 서류(書類), 시류(詩類), 예류(禮類), 악류(樂類), 춘추류(春秋類), 효경(孝經), 사서(史書)"
150,"동양철학, 동양사상","유교문화, 한국, 중국, 일본, 동남아시아 제국, 인도, 중앙아시아 제국, 시베리아, 아라비아반도 등의 철학·사상"
160,서양철학,"고대·중세·근세 서양철학, 미국, 北歐, 영국, 독일, 오스트리아, 프랑스, 네덜란드, 스페인, 포르투갈, 이탈리아, 러시아 등의 철학·사상"
170,논리학,"연역법, 귀납법, 변증법적 논리학, 기호·수리 논리학"
180,심리학,"차이심리학, 발달심리학, 이상심리학, 생리심리학, 임상심리학, 응용심리학 일반, 카운슬링, 면담, 심령연구, 꿈풀이, 운명판단(관상, 인상학), 작명, 풍수지리, 역술, 사주풀이"
190,"윤리학, 도덕철학","가정윤리, 국가 및 정치윤리, 사회사회윤리, 직업윤리 일반, 오락 및 경기윤리, 성윤리 및 생식윤리, 소비윤리, 도덕훈, 교훈, 명언, 자기계발"
200,종교 일반,"종교철학 및 사상, 자연종교, 자연신학, 종교사"
210,비교종교,"종교적 감정, 종교와 예술, 종교 사회학, 종교와 기타 주제와의 관계, 신화(예: 그리스신화, 로마신화)"
220,불교,"불교교리, 경전(불전, 불경, 대장경), 법어, 신앙록, 신앙생활, 포교, 교육, 교화활동, 사원론, 법회, 의식, 행사, 라마교"
230,기독교,"기독교신학, 교의학(조직신학), 예수그리스도, 성서(성경), 교회론, 신앙록, 명상록, 신앙생활, 전도, 교육, 교화활동, 목회학, 예배, 의식, 성례, 유대교, 통일교"
240,도교,"교의, 신선사상, 교주, 개조, 도장, 신앙록, 신앙생활, 포교, 전도, 교육, 사원론(도관), 행사, 법술, 교파"
250,천도교,"동학교분파, 사천교, 상제교, 청림교, 원종교, 천요교, 대화교, 단군교, 대종교, 기타 단군신앙"
260,[미사용],현재 지정된 분류 내용 없음
270,"힌두교, 브라만교","구 바라문교 교리, 범사상, 교파, 교리, 포교, 예배형식, 의식, 의례, 종교"
280,이슬람교(회교),"교의, 교조, 교전, 신앙록, 신앙생활, 포교, 전도, 교육, 교화활동, 종파, 바하이즘, 조로아스터교"
290,기타 제종교,"신흥종교, 유사종교(증산도, 대순진리교 등)"
300,사회과학 일반,"사회사상, 정치·경제·사회·문화·역사 전반적 내용"
310,통계자료,"통계 이론 및 방법, 각종 통계, 통계분석, 인구통계"
320,경제학,"경영·경제 일반, 관광경영, 마케팅, 경제정책, 무역학, 부동산(공인중개사), 회계학, 공익사업, 증권, 재테크, 금융, 보험, 재정, 조세, 교통, 이민, 취업, 면접, 광고, 회사 내 인간관계"
330,"사회학, 사회문제","사회사, 사회심리학, 인간생태학, 사회문제, 생활문제, 여성문제, 사회복지, 사회단체, 장애인 복지, 아동·청소년 문제, 성문제"
340,정치학,"정치사상, 선거, 입법, 정당, 외교, 국제관계, 국제협력, 국제문제, 영토분쟁 각국 정치, 통일, 남북관계"
350,행정학,"행정관리, 행정조직, 경찰행정(치안행정), 소방방재행정, 각국 중앙행정, 지방자치 및 지방행정, 선거, 공무원시험"
360,"법률, 법학","국제법, 헌법, 행정법, 형법, 민법, 상법, 사법제도 및 소송법, 부동산법, 각국법, 예규, 법령집, 판례집"
370,교육학,"교육정책 및 행정, 학교행정 및 경영·보건 및 교육지도, 학급경영, 학습지도, 교육방법, 교육과정, 유아 및 초등교육, 대학, 전문, 고등교육, 평생교육, 특수교육, 각종 교육문제"
380,"풍습, 예절, 민속학","의식주의 풍습, 식생활 풍습, 연령별, 성별, 신분별 사회계층의 풍습, 사회생활의 풍습, 관혼상제, 예절, 축제, 세시풍습, 민속학, 민간신앙, 문화인류학"
390,"국방, 군사학","국가안보, 국토방위, 국방이론, 군사행정, 전략·전술, 군사교육 및 훈련, 군사시설 및 장비, 군특수기술근무, 육군, 해군, 공군, 고대병법, 첨단무기, 안보"
400,자연과학 일반,"과학이론, 과학철학, 과학사, 순수과학과 기술과학의 일반적 내용"
410,수학,"산수, 대수학, 확률론, 통계학, 해석학, 기하학, 위상수학, 삼각법, 해석기하학"
420,물리학,"이론물리학, 통계역학, 고체역학, 유체역학, 기체역학, 음향학, 진동학, 광학, 열학, 전기학 및 전자학, 자기, 현대물리학"
430,화학,"이론화학과 물리화학, 화학실험, 기기, 시설, 분석화학, 합성화학, 무기화학, 금속원소와 그 화합물, 유기화학, 고리형화합물, 고분자화합물과 기타 유기물"
440,천문학,"천체운동, 이론천문학, 실지천문학, 천문대, 관측소, 천체망원경, 관측술, 기술천문학, 우주, 태양계, 항성, 지구, 측지학, 항해천문학, 역법(달력), 측시법(표준시간)"
450,지학,"지구물리학, 지형학, 기상학, 기후학, 해양학, 구조지질학, 지사학, 고생물학(화석학), 응용지질학 및 광상학, 암석학"
460,광물학,"원소광물, 황화광물, 할로겐화광물, 산화광물, 규산 및 규산염화물, 기타 산화물을 포함한 광물, 유기광물, 결정학"
470,생명과학,"인류학(자연인류학), 생물학, 생명론, 생물철학, 세포학, 미생물학, 생물진화, 생물지리학, 현미경 및 현미경검사법, 생물채집 및 보존"
480,식물학,"일반 식물학, 은화식물, 엽상식물, 조균류, 현화식물, 종자식물, 나자식물, 피자식물, 단자엽식물, 쌍자엽식물"
490,동물학,"무척추동물, 원생동물, 해면동물, 자포동물, 선형동물, 연체동물, 의연체동물, 절지동물, 곤충류, 척삭(척색)동물, 어류, 양서류, 파충류, 조류, 포유류"
500,기술과학 일반,"기술이론, 기술교육, 발명, 발견, 기술사"
